date,open,high,low,close
2026-01-02,26000,26100,25900,26000
2026-01-05,26000,26100,25500,25600
2026-01-06,25600,25700,25000,25100
2026-01-07,25100,25200,23800,24000
2026-01-08,24000,24300,23900,24100
2026-01-09,24100,24500,24000,24400
2026-01-12,24400,24800,24300,24700
2026-01-13,24700,25100,24600,25000
2026-01-14,25000,25400,24900,25300
2026-01-15,25300,25700,25200,25500
2026-01-16,25500,25800,25400,25600
2026-01-19,25600,25700,25100,25200
2026-01-20,25200,25300,24600,24800
2026-01-21,24800,24900,23700,23800
2026-01-22,23800,24200,23700,24000
2026-01-23,24000,24500,23900,24300
2026-01-27,24300,24800,24200,24700
2026-01-28,24700,25100,24600,25000
2026-01-29,25000,25400,24900,25200
2026-01-30,25200,25800,25100,25600
